Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.5833333333333334,0.520042735042735,0.5833333333333334,0.533094646309228
Decision Tree,0.4166666666666667,0.4798611111111111,0.4166666666666667,0.43223443223443225
Random Forest,0.5833333333333334,0.4980555555555556,0.5833333333333334,0.5337531863847654
SVM,0.5333333333333333,0.28444444444444444,0.5333333333333333,0.3710144927536232
